"","title","published_date","publication_location","publication_4","publication_type_5","length","section","word_count","countries","byline","agg_copyright","cite","company","headline","hlead","publication_16","publication_type_17","pub_copyright","show","term","ticker"
"61","CAIR Condemns Neo-Nazi Vandalism Near Jewish Homes in Baltimore","June 29, 2024 Saturday","U.S. Federal","Targeted News Service","News","305",NA,"305",NA,"Targeted News Service",NA,NA,NA,"CAIR Condemns Neo-Nazi Vandalism Near Jewish Homes in Baltimore","CAIR Condemns Neo-Nazi Vandalism Near Jewish Homes in Baltimore The Council on American -Islamic Relations issued the following news release on June 28, 2024: The Maryland office of the Council on American -Islamic Relations (CAIR), the nation's largest Muslim civil rights and advocacy organization, today condemned neo-Nazi vandalism near Jewish homes in Baltimore.","Targeted News Service","Newswire",NA,NA,NA,NA
"62","Trans-led wellness center targeted in hate crime","September 28, 2024 Saturday","U.S. Federal","CNN Wire","News","362",NA,"362",NA,"By Caroline Foreback",NA,NA,NA,"Trans-led wellness center targeted in hate crime","Trans-led wellness center targeted in hate crime Click here for updates on this story BALTIMORE  ( WJZ ) --  Baltimore Safe Haven, a trans-led nonprofit organization that provides resources and opportunities to the LGBTQ2+ community, was the victim of a hate crime Friday morning.","CNN Wire","Newswire",NA,NA,NA,NA
"63","Baltimore Man Sentenced to Federal Prison for Possessing an Illegal Firearm","December 24, 2024 Tuesday","International","Legal Monitor Worldwide","News","411",NA,"411","Jordan, Hashemite Kingdom of",NA,NA,NA,NA,"Baltimore Man Sentenced to Federal Prison for Possessing an Illegal Firearm","Baltimore Man Sentenced to Federal Prison for Possessing an Illegal Firearm Greenbelt , Maryland Today, U.S. District Judge Deborah K. Chasanow sentenced Montreal Proctor, 34, of Baltimore, Maryland , to three years in federal prison, followed by three years of supervised release, for federal charges of illegal possession of a firearm and ammunition.","Legal Monitor Worldwide","Newspaper",NA,NA,NA,NA
"64","The 10 most dangerous cities in the United States","December 25, 2024 Wednesday","International","CE Noticias Financieras English","News","522",NA,"522","Mexico",NA,NA,"FEDERAL BUREAU OF INVESTIGATION","FEDERAL BUREAU OF INVESTIGATION","The 10 most dangerous cities in the United States","The 10 most dangerous cities in the United States Which U.S. cities should you be wary of because of their high crime rates? According to information from the Federal Bureau of Investigation (FBI), 10 jurisdictions that stand out for being dangerous.","CE Noticias Financieras English","Newspaper",NA,NA,NA,NA
"65","BALTIMORE MAN SENTENCED TO FEDERAL PRISON FOR POSSESSING AN ILLEGAL FIREARM","December 23, 2024 Monday","U.S. Federal","States News Service","News","390",NA,"390",NA,"States News Service",NA,"US ATTORNEY'S OFFICE FOR THE DISTRICT OF MARYLAND","US ATTORNEY'S OFFICE FOR THE DISTRICT OF MARYLAND","BALTIMORE MAN SENTENCED TO FEDERAL PRISON FOR POSSESSING AN ILLEGAL FIREARM","BALTIMORE MAN SENTENCED TO FEDERAL PRISON FOR POSSESSING AN ILLEGAL FIREARM The following information was released by the United States Attorney's Office for the District of Maryland: Today, U.S. District Judge Deborah K. Chasanow sentenced Montreal Proctor, 34, of Baltimore, Maryland , to three years in federal prison, followed by three years of supervised release, for federal charges of illegal possession of a firearm and ammunition.","States News Service","Newswire",NA,NA,NA,NA
"66","Baltimore City residents desperately need tax relief","October 10, 2024 Thursday","Maryland","The Baltimore Sun","News","583","MAIN;A;Pg. 11","583",NA,"Christopher Anderson",NA,"BALTIMORE GAS & ELECTRIC CO","BALTIMORE GAS & ELECTRIC CO","Baltimore City residents desperately need tax relief","Baltimore City residents desperately need tax relief Ben Frederick, a real estate broker on the Renew Baltimore leadership team, speaks in front of City Hall as the group prepares to submit more than 23,000 signatures in support of a ballot question cutting property taxes. staff file Renew Baltimore, the organization behind a widely discussed ballot initiative aimed at significantly reducing the city's property tax rate, has submitted over 23,000 signatures - more than double the amount required to place the measure on the ballot. However, the Maryland Supreme Court recently blocked the proposed charter amendment from appearing on Baltimore City's 2024 Election Day ballot. The initiative sought to lower local property taxes incrementally over seven years.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"67","White Supremacist Leader Found Guilty of Conspiring to Destroy Regional Power Grid","February 5, 2025 Wednesday","International","Legal Monitor Worldwide","News","752",NA,"752","Jordan, Hashemite Kingdom of",NA,NA,NA,NA,"White Supremacist Leader Found Guilty of Conspiring to Destroy Regional Power Grid","White Supremacist Leader Found Guilty of Conspiring to Destroy Regional Power Grid Baltimore, Maryland After a six-day trial, a federal jury found Brandon Russell, 29, a resident of Orlando , Florida , guilty of conspiracy to damage an energy facility. Erek L. Barron , United States Attorney for the District of Maryland and Special Agent in Charge William J. DelBagno, of the Federal Bureau of Investigation, Baltimore Field Office announced the jurys verdict.Hate-fueled violence has no place in a civilized society. Brandon Russell went well beyond his First Amendment rights, orchestrating a terrorist plot that would have harmed thousands of innocent people, Barron said. It wont always be popular, but this office will do the right thing, the right way, for the right reason. Brandon Russell, a self-proclaimed National Socialist, conspired to 'lay waste to the city of Baltimore through violence and destruction of critical infrastructure.","Legal Monitor Worldwide","Newspaper",NA,NA,NA,NA
"68","How Baltimore is saving lives by offering young men resources when they put down the guns","January 19, 2025 Sunday","U.S. Federal","Associated Press International","News","1119","DOMESTIC NEWS;STATE AND REGIONAL","1119",NA,"LEA SKENE Associated Press",NA,NA,NA,"How Baltimore is saving lives by offering young men resources when they put down the guns","How Baltimore is saving lives by offering young men resources when they put down the guns BALTIMORE (AP) — With his dad in prison and his mom suffering from alcoholism, Malik Grant faced abandonment and instability early on. He got used to people letting him down. So when outreach workers from a Baltimore anti-violence program offered to help him stay safe and leave the streets behind, he didn’t necessarily have high expectations. Two years later, Grant has an apartment and a full-time job with the city’s Department of Public Works. He recently started his own business that provides cleaning, landscaping and junk removal services. He plans to hire other young men from his old neighborhood to show them what is possible with hard work.","Associated Press International","Newswire",NA,NA,NA,NA
"69","How Baltimore is saving lives by offering young men resources when they put down the guns","January 19, 2025 Sunday","New York","The Associated Press","News","1118","DOMESTIC NEWS;STATE AND REGIONAL","1118",NA,"LEA SKENE Associated Press",NA,NA,NA,"How Baltimore is saving lives by offering young men resources when they put down the guns","How Baltimore is saving lives by offering young men resources when they put down the guns BALTIMORE — With his dad in prison and his mom suffering from alcoholism, Malik Grant faced abandonment and instability early on. He got used to people letting him down. So when outreach workers from a Baltimore anti-violence program offered to help him stay safe and leave the streets behind, he didn’t necessarily have high expectations. Two years later, Grant has an apartment and a full-time job with the city’s Department of Public Works. He recently started his own business that provides cleaning, landscaping and junk removal services. He plans to hire other young men from his old neighborhood to show them what is possible with hard work.","The Associated Press","Newswire",NA,NA,NA,NA
"70","How Baltimore is saving lives by offering young men resources when they put down the guns","January 19, 2025 Sunday","International","The Canadian Press","News","1119","INTERNATIONAL","1119","Canada","Lea Skene The Associated Press",NA,NA,NA,"How Baltimore is saving lives by offering young men resources when they put down the guns","How Baltimore is saving lives by offering young men resources when they put down the guns BALTIMORE (AP) — With his dad in prison and his mom suffering from alcoholism, Malik Grant faced abandonment and instability early on. He got used to people letting him down. So when outreach workers from a Baltimore anti-violence program offered to help him stay safe and leave the streets behind, he didn’t necessarily have high expectations. Two years later, Grant has an apartment and a full-time job with the city’s Department of Public Works. He recently started his own business that provides cleaning, landscaping and junk removal services. He plans to hire other young men from his old neighborhood to show them what is possible with hard work.","Canadian Press","Newswire",NA,NA,NA,NA
"71","How Baltimore is saving lives by offering young men resources when they put down the guns","January 19, 2025 Sunday","U.S. Federal","Associated Press State & Local","News","1119","DOMESTIC NEWS;STATE AND REGIONAL","1119",NA,"LEA SKENE Associated Press",NA,NA,NA,"How Baltimore is saving lives by offering young men resources when they put down the guns","How Baltimore is saving lives by offering young men resources when they put down the guns BALTIMORE (AP) — With his dad in prison and his mom suffering from alcoholism, Malik Grant faced abandonment and instability early on. He got used to people letting him down. So when outreach workers from a Baltimore anti-violence program offered to help him stay safe and leave the streets behind, he didn’t necessarily have high expectations. Two years later, Grant has an apartment and a full-time job with the city’s Department of Public Works. He recently started his own business that provides cleaning, landscaping and junk removal services. He plans to hire other young men from his old neighborhood to show them what is possible with hard work.","Associated Press State & Local","Newswire",NA,NA,NA,NA
"72","BALTIMORE MAN SENTENCED TO FEDERAL PRISON FOR POSSESSING AN ILLEGAL FIREARM","December 23, 2024 Monday","U.S. Federal","US Fed News","News","458",NA,"458",NA,NA,NA,"US DEPARTMENT OF JUSTICE","US DEPARTMENT OF JUSTICE","BALTIMORE MAN SENTENCED TO FEDERAL PRISON FOR POSSESSING AN ILLEGAL FIREARM","BALTIMORE MAN SENTENCED TO FEDERAL PRISON FOR POSSESSING AN ILLEGAL FIREARM WASHINGTON, Dec. 23 -- The U.S. Department of Justice's U.S. Attorney's office for XXXXXX (insert district) issued the following press release:","US Fed News","Newswire",NA,NA,NA,NA
"73","the weekend watch Things to do in Baltimore Jan. 17-23","January 17, 2025 Friday","Maryland","The Baltimore Sun","News","403","SPORTS;D;Pg. 6","403",NA,NA,NA,NA,NA,"the weekend watch Things to do in Baltimore Jan. 17-23","the weekend watch Things to do in Baltimore Jan. 17-23 Jose Luis Magana/AP 2024 Courtesy Courtesy Courtesy Honor a civil rights icon, see monster trucks soar through the air, learn how art is created, enjoy a laugh-filled play or attend a local literary giant's birthday party.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"74","Md. A.G. Brown Announces Conviction of Three Individuals for Charges Related to the Illegal Dumping of Hazardous Substances in Baltimore City","January 30, 2025 Thursday","U.S. Federal","Targeted News Service","News","632",NA,"632",NA,"Targeted News Service",NA,NA,NA,"Md. A.G. Brown Announces Conviction of Three Individuals for Charges Related to the Illegal Dumping of Hazardous Substances in Baltimore City","Md. A.G. Brown Announces Conviction of Three Individuals for Charges Related to the Illegal Dumping of Hazardous Substances in Baltimore City Maryland Attorney General Anthony G. Brown issued the following news release on Jan. 29, 2025: Attorney General Anthony G. Brown today announced the convictions of Anthony L. Simmons, 55, of Baltimore, Orlando D. Pagan, 39, of Elkridge , and Jeremy Scott Thompson, 33, of Baltimore for improperly disposing of hazardous materials in Baltimore City. In February 2023, the Baltimore City Fire Department (BCFD) responded to two 911 calls for the dumping of hazardous waste. At both sites, emergency personnel discovered multiple drums, bags, and boxes labeled ""hazardous chemicals,"" including containers marked with the skull and crossbones symbol and others marked ""flammable."" At one of the locations, some of the boxes, bags, and drums were open and actively leaking to the ground. BCFD notified the Maryland Department of Environment (MDE) Emergency Response Division, which then responded to that location. Through further investigation, a third dump site was located in the 300 block of S. Spring Court.","Targeted News Service","Newswire",NA,NA,NA,NA
"75","How Baltimore is saving lives by offering young men resources when they put down the guns","January 19, 2025 Sunday","International","The Independent (United Kingdom)","News","1133",NA,"1133","England & Wales","Lea Skene",NA,NA,NA,"How Baltimore is saving lives by offering young men resources when they put down the guns","How Baltimore is saving lives by offering young men resources when they put down the guns With his dad in prison and his mom suffering from alcoholism, Malik Grant faced abandonment and instability early on. He got used to people letting him down. So when outreach workers from a Baltimore anti-violence program offered to help him stay safe and leave the streets behind, he didn't necessarily have high expectations. Two years later, Grant has an apartment and a full-time job with the city's Department of Public Works. He recently started his own business that provides cleaning, landscaping and junk removal services. He plans to hire other young men from his old neighborhood to show them what is possible with hard work.","The Independent (United Kingdom)","Web Publication",NA,NA,NA,NA
"76","STATE'S ATTORNEY'S OFFICE RELEASES 2024 RESTORING ACCOUNTABILITY TO BALTIMORE DATA ANALYSIS","January 7, 2025 Tuesday","U.S. Federal","States News Service","News","431",NA,"431",NA,"States News Service",NA,NA,NA,"STATE'S ATTORNEY'S OFFICE RELEASES 2024 RESTORING ACCOUNTABILITY TO BALTIMORE DATA ANALYSIS","STATE'S ATTORNEY'S OFFICE RELEASES 2024 RESTORING ACCOUNTABILITY TO BALTIMORE DATA ANALYSIS The following information was released by the Office of the State's Attorney for Baltimore City: 1064 violent offenders have been removed from Baltimore's streets annually under the Bates Administration","States News Service","Newswire",NA,NA,NA,NA
"77","Baltimore mentors are 'in harm's way' while stopping recent school violence","January 22, 2025 Wednesday","Maryland","The Baltimore Sun","News","686","MAIN;A;Pg. 8","686",NA,"Brooke Conrad",NA,NA,NA,"Baltimore mentors are 'in harm's way' while stopping recent school violence","Baltimore mentors are 'in harm's way' while stopping recent school violence Adult mentors were on scene and engaged during two recent violent incidents at a Baltimore high school, where the city has been implementing a violence intervention program in recent months. While their actions likely prevented further harm to students and staff, the fact that the incidents occurred at all is a source of concern to community members. On Thursday, a juvenile was arrested after an assault outside Carver Vocational-Technical High School, resulting in three students and a staff member being sent to the hospital with non-life-threatening injuries. One student had their lip almost ""cut off"" during the fight, said Elisha Johnson, who works with students at Carver to help them with job training through the Requity Foundation. A month before that, a school hall monitor was attacked by students in December, she said.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"78","Baltimore City Man Sentenced to 12 Years in Federal Prison for Carjacking Baltimore Police Department Detective","December 12, 2024 Thursday","International","Legal Monitor Worldwide","News","553",NA,"553","Jordan, Hashemite Kingdom of",NA,NA,"7-ELEVEN INC","7-ELEVEN INC","Baltimore City Man Sentenced to 12 Years in Federal Prison for Carjacking Baltimore Police Department Detective","Baltimore City Man Sentenced to 12 Years in Federal Prison for Carjacking Baltimore Police Department Detective Baltimore Today, U.S. District Judge Stephanie A. Gallagher sentenced Trevon Gardner, 23, of Baltimore, to 12 years in federal prison, followed by five years of supervised release, for his involvement in an armed carjacking of a Baltimore Police Department (BPD) detective in Baltimore. Erek L. Barron , U.S. Attorney for the District of Maryland, announced the sentence with Special Agent in Charge William J. DelBagno, Federal Bureau of Investigation, Baltimore Field Office, and Commissioner Richard Worley, BPD.According to the plea agreement, on May 3, 2022, BPD Detective Aaron Cain was at a 7-Eleven store at 2830 South Hanover Street, located in the Cherry Hill neighborhood.Detective Cain wore his training uniform, which consisted of dark cargo-style pants; a polo shirt with an embroidered BPD badge emblem on the chest area; his BPD credentials on a lanyard around his neck; his BPD badge; radio; and service weapon in his waistband.He was also driving an unmarked BPD vehicle.Video surveillance camera footage shows Cain walking from the 7-Eleven towards his vehicle and opening the front passenger-side door. Then, the defendant and two other males approached the vehicle.One of the men brandished a handgun and struck Cain in the upper body near his head, causing Cain to fall to the ground and hit his head. While Cain was on the ground, one of the men kicked and punched him.","Legal Monitor Worldwide","Newspaper",NA,NA,NA,NA
"79","Business owners are struggling in Fells Point Four restaurants have shuttered in traditional hot spot since start of year","February 2, 2025 Sunday","Maryland","The Baltimore Sun","News","1576","MAIN;A;Pg. 1","1576",NA,"Jonathan M. Pitts",NA,NA,NA,"Business owners are struggling in Fells Point Four restaurants have shuttered in traditional hot spot since start of year","Business owners are struggling in Fells Point Four restaurants have shuttered in traditional hot spot since start of year Rosalyn Vera, owner of Cocina Luchadoras, holds a plate of tacos in her restaurant in 2019, which is located in Fells Point. This rebel stronghold for taco lovers offers outside seating in the warmer months and a delectable assortment of handmade sopes, pozole and Mexican beverages. barbara haddock taylor/staff Inflation, high rents and a perception that crime is not dropping have been pushing restaurants out of Fells Point , as business owners struggle to recover from the devastating aftereffects of the pandemic. Four restaurants in the neighborhood have closed their doors since the first of the year alone. First came Baja Tap, a 1-year-old Mexican restaurant and bar on South Bond Street, which shuttered Jan. 3. Cocina Luchacoras, a beloved family-run Mexican eatery on East Lombard Street, followed five days later after eight years in business. Bondhouse Kitchen, a Southern cuisine hot spot that was also on South Bond, went under on Jan. 12 after four years in operation, and Riptide, a seafood outlet with live music and animated crowds every weekend, closed on Jan. 15 after six years on Thames Street. Owners of the businesses - two of them family-owned, two run by out-of-town companies - were grasping for answers last week, and so were observers of the beleaguered industry.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"80","Md. U.S. Attorney: White Supremacist Leader Found Guilty of Conspiring to Destroy Regional Power Grid","February 3, 2025 Monday","U.S. Federal","Targeted News Service","News","803",NA,"803",NA,"Targeted News Service",NA,"FEDERAL BUREAU OF INVESTIGATION","FEDERAL BUREAU OF INVESTIGATION","Md. U.S. Attorney: White Supremacist Leader Found Guilty of Conspiring to Destroy Regional Power Grid","Md. U.S. Attorney: White Supremacist Leader Found Guilty of Conspiring to Destroy Regional Power Grid The office of the U.S. Attorney for the District of Maryland issued the following news release: * * * Defendant Planned Attack in Support of Neo-Nazi Accelerationist Ideology * * * After a six-day trial, a federal jury found Brandon Russell, 29, a resident of Orlando , Florida , guilty of conspiracy to damage an energy facility. Erek L. Barron , United States Attorney for the District of Maryland and Special Agent in Charge William J. DelBagno, of the Federal Bureau of Investigation, Baltimore Field Office announced the jury's verdict.","Targeted News Service","Newswire",NA,NA,NA,NA
"81","City homicide total dropping more than other areas of country Experts cite stronger policing and prosecutions","January 8, 2025 Wednesday","Maryland","The Baltimore Sun","News","1959","MAIN;A;Pg. 1","1959",NA,"Brooke Conrad",NA,NA,NA,"City homicide total dropping more than other areas of country Experts cite stronger policing and prosecutions","City homicide total dropping more than other areas of country Experts cite stronger policing and prosecutions The drop in homicides in Baltimore City over the past two years has significantly outpaced the decrease in the country as a whole, a shift that academic and law enforcement experts largely credit to the work of two men: Baltimore City State's Attorney Ivan Bates and Mayor Brandon Scott . Baltimore City recorded 201 homicides in 2024 - a 40% decline over 2022, when police logged 336 homicides. During the same two-year period which followed the return of some normalcy after pandemic lockdowns, homicides declined nationally 25%, with available data through October 2024, according to a Real-Time Crime Index published by AH Datalytics.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"82","Crime down, yet many feel unsafe","January 29, 2025 Wednesday","Illinois","The Pantagraph","News","764","A;Pg. A5","764",NA,"CLAUDIA LAUER Associated Press",NA,"UNIVERSITY OF CHICAGO","UNIVERSITY OF CHICAGO","Crime down, yet many feel unsafe","Crime down, yet many feel unsafe PHILADELPHIA - As U.S. police departments release preliminary or finalized 2024 crime numbers, many are reporting historic declines in homicides and drops in other violent crimes compared to 2023. In many parts of the country, though, those decreases don't match the public perception. Experts say most cities are seeing a drop in crime levels that spiked during the height of the COVID-19 pandemic. But they say misleading campaign rhetoric in the runup to the November elections and changes in how people interpret news about crime have led to a perception gap.","The Pantagraph (Bloomington, Illinois)","Newspaper",NA,NA,NA,NA
"83","BREAKING: CAIR Welcomes Arrest, Hate Charge in Case of Fake Pagers, Israeli Military Sweatshirt Mailed to Palestinian-Owned Business in Baltimore","November 2, 2024 Saturday","International","Impact News Service","News","655",NA,"655","Europe",NA,NA,NA,NA,"BREAKING: CAIR Welcomes Arrest, Hate Charge in Case of Fake Pagers, Israeli Military Sweatshirt Mailed to Palestinian-Owned Business in Baltimore","BREAKING: CAIR Welcomes Arrest, Hate Charge in Case of Fake Pagers, Israeli Military Sweatshirt Mailed to Palestinian-Owned Business in Baltimore","Impact News Service","Newswire",NA,NA,NA,NA
"84","Best crime drama of all time' to be available to stream in UK next month","January 29, 2025 Wednesday","International","mirror.co.uk","News","390","TV NEWS;Version:1","390","United Kingdom of Great Britain and Northern Ireland","By, Tianna Corbin",NA,"BEST INC","BEST INC","Best crime drama of all time' to be available to stream in UK next month","Best crime drama of all time' to be available to stream in UK next month The series followed a team of fictional Baltimore detectives as they navigated a number of brutal murders and is regarded as one of the best police cop shows of all time. Homicide: Life on the Street first captivated audiences in 1993, becoming an instant hit with its gritty portrayal of Baltimore detectives investigating brutal murders. Over 122 episodes, the show ran until 1999, earning its place as one of the all-time great police dramas. Boasting a talented cast, including the late Andre Braugher, Richard Belzer, and Melissa Leo, the series was adapted from David Simon's book Homicide: A Year on the Killing Streets, which later inspired The Wire.","mirror.co.uk","Newspaper; Web Publication",NA,NA,NA,NA
"85","Sally Ransom-Knecht Experience with a deadly crime in Baltimore in '87 led nursing executive to become a victim's advocate: 'She put others first' Obituary","July 2, 2024 Tuesday","Maryland","The Baltimore Sun","News","736","MAIN;A;Pg. 13","736",NA,"Jacques Kelly",NA,"JOHNS HOPKINS UNIVERSITY","JOHNS HOPKINS UNIVERSITY","Sally Ransom-Knecht Experience with a deadly crime in Baltimore in '87 led nursing executive to become a victim's advocate: 'She put others first' Obituary","Sally Ransom-Knecht Experience with a deadly crime in Baltimore in '87 led nursing executive to become a victim's advocate: 'She put others first' Obituary Sally Ransom-Knecht Sally Ransom-Knecht, former director of nursing at Maryland General Hospital who became an advocate for victims after her husband was killed in Baltimore, died June 15 of complications from a fall. She was 92 and a resident of Edenwald Senior Living in Towson. Born in New York City , she was the daughter of Walter Niedhammer, a phone company worker, and Selma, a nurse. She earned degrees at the old Methodist Hospital of Brooklyn School of Nursing and New York University . She attended the Johns Hopkins University for postgraduate work.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"86","Theft prompts HVAC repairs at Northeast Baltimore school","January 8, 2025 Wednesday","Maryland","The Baltimore Sun","News","759","MAIN;A;Pg. 10","759",NA,"Dan Belson",NA,"MIDDLE TENNESSEE STATE UNIVERSITY","MIDDLE TENNESSEE STATE UNIVERSITY","Theft prompts HVAC repairs at Northeast Baltimore school","Theft prompts HVAC repairs at Northeast Baltimore school While Baltimore City Public Schools were closed early this week due to snow, police were at a Northeast Baltimore school investigating an apparent copper heist as HVAC contractors made repairs. Despite the suspected theft at Yorkwood Elementary School, the building in the Loch Raven neighborhood will reopen for students along with all other city schools on Wednesday, city schools spokesperson Sherry Christian said. Christian confirmed Tuesday that school police were investigating a theft they believe happened Sunday night at the elementary school and that operations crews were addressing damage to the property. The break-in was first reported by FOX45, which obtained dispatch audio where Baltimore City School Police officers are heard saying that ""a lot of copper"" was taken, estimating the loss at $80,000.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"87","Juvenile who pleaded guilty to rape allowed to return to school","January 14, 2025 Tuesday","Maryland","The Baltimore Sun","News","763","MAIN;A;Pg. 4","763",NA,"Chris Papst FOX45 News",NA,NA,NA,"Juvenile who pleaded guilty to rape allowed to return to school","Juvenile who pleaded guilty to rape allowed to return to school A teenager who pleaded guilty to separate rape and sex offense charges is allowed to return to school in person following a Baltimore judge's ruling. Now, the victims' mothers are issuing a warning to other parents. FOX45 News first spoke with the mothers last year. To help protect the identity of their daughters, FOX45 is concealing their names. But the mothers came forward to blow the whistle saying Maryland 's juvenile court system was putting student safety at risk. And they now say it's happening again. ""The court is allowing a sex offender to be able to go back to school and essentially not notifying parents or other children so that they can protect themselves,"" stated one of the mothers.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"88","Prosecutors credit Baltimore wiretap operation success","November 29, 2024 Friday","Maryland","The Baltimore Sun","News","439","MAIN;A;Pg. 4","439",NA,"Mikenzie Frost FOX45 News",NA,NA,NA,"Prosecutors credit Baltimore wiretap operation success","Prosecutors credit Baltimore wiretap operation success Evidence including guns, drugs and money were collected after Operation Tornado Alley and the takedown of four separate violent criminal organizations operating across southwest Baltimore. Lloyd Fox/Staff The partnership between federal and local leaders has been on full display recently, especially with the news of the largest takedown in recent years resulting in indictments connected to four criminal drug trafficking organizations. And the two top prosecutors say their teamwork is here to stay.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"89","Baltimore City Man Sentenced to 12 Years in Federal Prison for Carjacking Baltimore Police Department Detective","December 7, 2024 Saturday","International","Impact News Service","News","524",NA,"524","Europe",NA,NA,NA,NA,"Baltimore City Man Sentenced to 12 Years in Federal Prison for Carjacking Baltimore Police Department Detective","Baltimore City Man Sentenced to 12 Years in Federal Prison for Carjacking Baltimore Police Department Detective","Impact News Service","Newswire",NA,NA,NA,NA
"90","At least 4 Fells Point eateries shutter since Jan. 1","January 28, 2025 Tuesday","Maryland","The Baltimore Sun","News","1576","MAIN;A;Pg. 11","1576",NA,"Jonathan M. Pitts",NA,NA,NA,"At least 4 Fells Point eateries shutter since Jan. 1","At least 4 Fells Point eateries shutter since Jan. 1 Rosalyn Vera, owner of Cocina Luchadoras, holds a plate of tacos in her restaurant, which is located in Fells Point. This rebel stronghold for taco lovers offers outside seating in the warmer months and a delectable assortment of handmade sopes, pozole and Mexican beverages. Barbara Haddock Taylor/STAFF Inflation, high rents and a perception that crime is a problem have been pushing restaurants out of Fells Point as business owners struggle to recover from the devastating after effects of the pandemic. Four restaurants in the neighborhood have closed their doors since the first of the year alone. First came Baja Tap, a one-year-old Mexican restaurant and bar on South Bond Street, which shuttered Jan. 3. Cocina Luchacoras, a beloved family-run Mexican eatery on East Lombard Street, followed five days later after eight years in business. Bondhouse Kitchen, a Southern cuisine hotspot that was also on South Bond, went under on Jan. 12 after four years in operation, and Riptide, a seafood outlet with live music and animated crowds every weekend, closed on Jan. 15 after six years on Thames Street. Owners of the businesses - two of them family-owned, two run by out-of-town companies - were grasping for answers last week, and so were observers of the beleaguered industry.","The Baltimore Sun","Newspaper",NA,NA,NA,NA
"91","How Baltimore Locals Beat A Right-Wing Media Tycoon","November 8, 2024 Friday","U.S. Federal","Wonkette","News","905",NA,"905",NA,"Marcie Jones",NA,"FOX ENTERTAINMENT GROUP INC","FOX ENTERTAINMENT GROUP INC","How Baltimore Locals Beat A Right-Wing Media Tycoon","How Baltimore Locals Beat A Right-Wing Media Tycoon November 8th, 2024 ( Wonkette - Delivered by Newstex ) Photo by Hayden Walker on Unsplash Pardon us while we recalibrate our humor from 'breezy' to 'gallows.' We woke up in a world that's post-shame, post-rule-of-law, where feelings don't care about your facts, and Taylor Swift's next album will probably be two hours of dirges. But giving up is not allowed! Yelling at the Washington Post, LA Times, and New York Times for a decade of ridiculous both-sides-ing is a worthy activity, but who besides us even reads the papers any more? Half of Americans get their news from social media, and mostly from Elon's hellsite, followed by Facebook and YouTube. Fox News is the most-watched news channel. Is it any wonder that Republicans falsely believe crime and unauthorized border crossings are at an all-time high, and the stock market is sinking? And most Americans don't 'follow the news' at all; in 2022 people who said they follow the news reached an all-time low of 38 percent. With social media, though, the news follows you!","Newstex Blogs Wonkette","Web Publication",NA,NA,NA,NA
"92","BALTIMORE CITY MAN SENTENCED TO 12 YEARS IN FEDERAL PRISON FOR CARJACKING BALTIMORE POLICE DEPARTMENT DETECTIVE","December 6, 2024 Friday","U.S. Federal","US Fed News","News","601",NA,"601",NA,NA,NA,"7-ELEVEN INC","7-ELEVEN INC","BALTIMORE CITY MAN SENTENCED TO 12 YEARS IN FEDERAL PRISON FOR CARJACKING BALTIMORE POLICE DEPARTMENT DETECTIVE","BALTIMORE CITY MAN SENTENCED TO 12 YEARS IN FEDERAL PRISON FOR CARJACKING BALTIMORE POLICE DEPARTMENT DETECTIVE WASHINGTON, Dec. 6 -- The U.S. Department of Justice's U.S. Attorney's office for XXXXXX (insert district) issued the following press release: Baltimore - Today, U.S. District Judge Stephanie A. Gallagher sentenced Trevon Gardner, 23, of Baltimore, to 12 years in federal prison, followed by five years of supervised release, for his involvement in an armed carjacking of a Baltimore Police Department (BPD) detective in Baltimore. Erek L. Barron , U.S. Attorney for the District of Maryland, announced the sentence with Special Agent in Charge William J. DelBagno, Federal Bureau of Investigation, Baltimore Field Office, and Commissioner Richard Worley, BPD.","US Fed News","Newswire",NA,NA,NA,NA
